code,name,submun,city,province
124706007,Bantac,,Magpet,Cotabato
124706008,Basak,,Magpet,Cotabato
124706009,Binay,,Magpet,Cotabato
124706010,Bongolanon,,Magpet,Cotabato
124706014,Datu Celo,,Magpet,Cotabato
124706015,Del Pilar,,Magpet,Cotabato
124706016,Doles,,Magpet,Cotabato
124706021,Gubatan,,Magpet,Cotabato
124706022,Ilian,,Magpet,Cotabato
124706023,Inac,,Magpet,Cotabato
124706024,Kamada,,Magpet,Cotabato
124706026,Kauswagan,,Magpet,Cotabato
124706027,Kisandal,,Magpet,Cotabato
124706029,Magcaalam,,Magpet,Cotabato
124706030,Mahongcog,,Magpet,Cotabato
124706033,Manobo,,Magpet,Cotabato
124706037,Noa,,Magpet,Cotabato
124706038,Owas,,Magpet,Cotabato
124706039,Pangao-an,,Magpet,Cotabato
124706040,Poblacion,,Magpet,Cotabato
124706042,Sallab,,Magpet,Cotabato
124706043,Tagbac,,Magpet,Cotabato
124706044,Temporan,,Magpet,Cotabato
124706048,Amabel,,Magpet,Cotabato
124706049,Balete,,Magpet,Cotabato
124706050,Don Panaca,,Magpet,Cotabato
124706051,Imamaling,,Magpet,Cotabato
124706052,Kinarum,,Magpet,Cotabato
124706053,Manobisa,,Magpet,Cotabato
124707000,MAKILALA,,,Cotabato
124707001,Batasan,,Makilala,Cotabato
124707002,Bato,,Makilala,Cotabato
124707003,Biangan,,Makilala,Cotabato
124707004,Buena Vida,,Makilala,Cotabato
124707005,Buhay,,Makilala,Cotabato
124707006,Bulakanon,,Makilala,Cotabato
124707007,Cabilao,,Makilala,Cotabato
124707008,Concepcion,,Makilala,Cotabato
124707009,Dagupan,,Makilala,Cotabato
124707010,Garsika,,Makilala,Cotabato
124707011,Guangan,,Makilala,Cotabato
124707012,Indangan,,Makilala,Cotabato
124707013,Jose Rizal,,Makilala,Cotabato
124707014,Katipunan II,,Makilala,Cotabato
124707015,Kawayanon,,Makilala,Cotabato
124707016,Kisante,,Makilala,Cotabato
124707017,Leboce,,Makilala,Cotabato
124707018,Libertad,,Makilala,Cotabato
124707019,Luayon,,Makilala,Cotabato
124707020,Luna Norte,,Makilala,Cotabato
124707021,Luna Sur,,Makilala,Cotabato
124707022,Malabuan,,Makilala,Cotabato
124707023,Malasila,,Makilala,Cotabato
124707024,Malungon,,Makilala,Cotabato
124707025,New Baguio,,Makilala,Cotabato
124707026,New Bulatukan,,Makilala,Cotabato
124707027,New Cebu,,Makilala,Cotabato
124707028,Old Bulatukan,,Makilala,Cotabato
124707029,Poblacion,,Makilala,Cotabato
124707030,Rodero,,Makilala,Cotabato
124707031,Saguing,,Makilala,Cotabato
124707032,San Vicente,,Makilala,Cotabato
124707033,Santa Felomina,,Makilala,Cotabato
124707034,Santo Niño,,Makilala,Cotabato
124707035,Sinkatulan,,Makilala,Cotabato
124707036,Taluntalunan,,Makilala,Cotabato
124707037,Villaflores,,Makilala,Cotabato
124707038,New Israel,,Makilala,Cotabato
124708000,MATALAM,,,Cotabato
124708001,New Alimodian,,Matalam,Cotabato
124708003,Arakan,,Matalam,Cotabato
124708004,Bangbang,,Matalam,Cotabato
124708005,Bato,,Matalam,Cotabato
124708006,Central Malamote,,Matalam,Cotabato
124708007,Dalapitan,,Matalam,Cotabato
124708008,Estado,,Matalam,Cotabato
124708009,Ilian,,Matalam,Cotabato
124708010,Kabulacan,,Matalam,Cotabato
124708012,Kibia,,Matalam,Cotabato
124708013,Kibudoc,,Matalam,Cotabato
124708014,Kidama,,Matalam,Cotabato
124708015,Kilada,,Matalam,Cotabato
124708017,Lampayan,,Matalam,Cotabato
124708018,Latagan,,Matalam,Cotabato
124708019,Linao,,Matalam,Cotabato
124708020,Lower Malamote,,Matalam,Cotabato
124708025,Manubuan,,Matalam,Cotabato
124708026,Manupal,,Matalam,Cotabato
124708027,Marbel,,Matalam,Cotabato
124708028,Minamaing,,Matalam,Cotabato
124708029,Natutungan,,Matalam,Cotabato
124708030,New Bugasong,,Matalam,Cotabato
124708031,New Pandan,,Matalam,Cotabato
124708033,Patadon West,,Matalam,Cotabato
124708034,Poblacion,,Matalam,Cotabato
124708035,Salvacion,,Matalam,Cotabato
124708036,Santa Maria,,Matalam,Cotabato
124708037,Sarayan,,Matalam,Cotabato
124708038,Taculen,,Matalam,Cotabato
124708039,Taguranao,,Matalam,Cotabato
124708040,Tamped (Tampad),,Matalam,Cotabato
124708041,New Abra,,Matalam,Cotabato
124708042,Pinamaton,,Matalam,Cotabato
124709000,MIDSAYAP,,,Cotabato
124709002,Agriculture,,Midsayap,Cotabato
124709003,Anonang,,Midsayap,Cotabato
124709004,Arizona,,Midsayap,Cotabato
124709005,Bagumba,,Midsayap,Cotabato
124709006,Baliki,,Midsayap,Cotabato
124709007,Bitoka,,Midsayap,Cotabato
124709008,Bual Norte,,Midsayap,Cotabato
124709009,Bual Sur,,Midsayap,Cotabato
124709010,Central Bulanan,,Midsayap,Cotabato
124709011,Damatulan,,Midsayap,Cotabato
124709012,Central Glad,,Midsayap,Cotabato
124709013,Ilbocean,,Midsayap,Cotabato
124709014,Kadigasan,,Midsayap,Cotabato
124709015,Kadingilan,,Midsayap,Cotabato
124709016,Kapinpilan,,Midsayap,Cotabato
124709017,Central Katingawan,,Midsayap,Cotabato
124709018,Kimagango,,Midsayap,Cotabato
124709019,Kudarangan,,Midsayap,Cotabato
124709020,Central Labas,,Midsayap,Cotabato
124709021,Lagumbingan,,Midsayap,Cotabato
124709022,Lomopog,,Midsayap,Cotabato
124709023,Lower Glad,,Midsayap,Cotabato
124709024,Lower Katingawan,,Midsayap,Cotabato
124709025,Macasendeg,,Midsayap,Cotabato
124709026,Malamote,,Midsayap,Cotabato
124709027,Malingao,,Midsayap,Cotabato
124709028,Milaya,,Midsayap,Cotabato
124709029,Mudseng,,Midsayap,Cotabato
124709030,Nabalawag,,Midsayap,Cotabato
124709031,Nalin,,Midsayap,Cotabato
124709032,Nes,,Midsayap,Cotabato
124709033,Olandang,,Midsayap,Cotabato
124709034,Patindeguen,,Midsayap,Cotabato
124709035,Barangay Poblacion 1,,Midsayap,Cotabato
124709036,Barangay Poblacion 2,,Midsayap,Cotabato
124709037,Barangay Poblacion 3,,Midsayap,Cotabato
124709038,Barangay Poblacion 4,,Midsayap,Cotabato
124709039,Barangay Poblacion 5,,Midsayap,Cotabato
124709040,Barangay Poblacion 6,,Midsayap,Cotabato
124709041,Barangay Poblacion 7,,Midsayap,Cotabato
124709042,Barangay Poblacion 8,,Midsayap,Cotabato
124709043,Palongoguen,,Midsayap,Cotabato
124709044,Rangaban,,Midsayap,Cotabato
124709045,Sadaan,,Midsayap,Cotabato
124709046,Salunayan,,Midsayap,Cotabato
124709047,Sambulawan,,Midsayap,Cotabato
124709048,San Isidro,,Midsayap,Cotabato
124709049,Santa Cruz,,Midsayap,Cotabato
124709050,Tugal,,Midsayap,Cotabato
124709051,Tumbras,,Midsayap,Cotabato
124709052,Bulanan Upper,,Midsayap,Cotabato
124709053,Upper Glad I,,Midsayap,Cotabato
124709054,Upper Glad II,,Midsayap,Cotabato
124709055,Upper Labas,,Midsayap,Cotabato
124709056,Villarica,,Midsayap,Cotabato
124709057,Kiwanan,,Midsayap,Cotabato
