,code,name,submun,city,province,address
73,124703024,Tamped,,Kabacan,Cotabato,"Tamped,Kabacan,Cotabato"
74,124704000,CITY OF KIDAPAWAN,,,Cotabato,"CITY OF KIDAPAWAN,Cotabato"
75,124704001,Amas,,Kidapawan,Cotabato,"Amas,Kidapawan,Cotabato"
76,124704002,Amazion,,Kidapawan,Cotabato,"Amazion,Kidapawan,Cotabato"
77,124704003,Balabag,,Kidapawan,Cotabato,"Balabag,Kidapawan,Cotabato"
78,124704004,Balindog,,Kidapawan,Cotabato,"Balindog,Kidapawan,Cotabato"
79,124704005,Benoligan,,Kidapawan,Cotabato,"Benoligan,Kidapawan,Cotabato"
80,124704006,Berada,,Kidapawan,Cotabato,"Berada,Kidapawan,Cotabato"
81,124704007,Gayola,,Kidapawan,Cotabato,"Gayola,Kidapawan,Cotabato"
82,124704008,Ginatilan,,Kidapawan,Cotabato,"Ginatilan,Kidapawan,Cotabato"
83,124704009,Ilomavis,,Kidapawan,Cotabato,"Ilomavis,Kidapawan,Cotabato"
84,124704010,Indangan,,Kidapawan,Cotabato,"Indangan,Kidapawan,Cotabato"
85,124704011,Junction,,Kidapawan,Cotabato,"Junction,Kidapawan,Cotabato"
86,124704012,Kalaisan,,Kidapawan,Cotabato,"Kalaisan,Kidapawan,Cotabato"
87,124704013,Kalasuyan,,Kidapawan,Cotabato,"Kalasuyan,Kidapawan,Cotabato"
88,124704014,Katipunan,,Kidapawan,Cotabato,"Katipunan,Kidapawan,Cotabato"
89,124704015,Lanao,,Kidapawan,Cotabato,"Lanao,Kidapawan,Cotabato"
90,124704016,Linangcob,,Kidapawan,Cotabato,"Linangcob,Kidapawan,Cotabato"
91,124704017,Luvimin,,Kidapawan,Cotabato,"Luvimin,Kidapawan,Cotabato"
92,124704018,Macabolig,,Kidapawan,Cotabato,"Macabolig,Kidapawan,Cotabato"
93,124704020,Malinan,,Kidapawan,Cotabato,"Malinan,Kidapawan,Cotabato"
94,124704021,Manongol,,Kidapawan,Cotabato,"Manongol,Kidapawan,Cotabato"
95,124704022,Marbel (Embac),,Kidapawan,Cotabato,"Marbel (Embac),Kidapawan,Cotabato"
96,124704023,Mateo,,Kidapawan,Cotabato,"Mateo,Kidapawan,Cotabato"
97,124704024,Meochao,,Kidapawan,Cotabato,"Meochao,Kidapawan,Cotabato"
98,124704025,Mua-an,,Kidapawan,Cotabato,"Mua-an,Kidapawan,Cotabato"
99,124704026,New Bohol,,Kidapawan,Cotabato,"New Bohol,Kidapawan,Cotabato"
100,124704027,Nuangan,,Kidapawan,Cotabato,"Nuangan,Kidapawan,Cotabato"
101,124704028,Onica,,Kidapawan,Cotabato,"Onica,Kidapawan,Cotabato"
102,124704029,Paco,,Kidapawan,Cotabato,"Paco,Kidapawan,Cotabato"
103,124704030,Patadon (Patadon East),,Kidapawan,Cotabato,"Patadon (Patadon East),Kidapawan,Cotabato"
104,124704031,Perez,,Kidapawan,Cotabato,"Perez,Kidapawan,Cotabato"
105,124704032,Poblacion,,Kidapawan,Cotabato,"Poblacion,Kidapawan,Cotabato"
106,124704033,San Isidro,,Kidapawan,Cotabato,"San Isidro,Kidapawan,Cotabato"
107,124704034,San Roque,,Kidapawan,Cotabato,"San Roque,Kidapawan,Cotabato"
108,124704035,Santo Niño,,Kidapawan,Cotabato,"Santo Niño,Kidapawan,Cotabato"
109,124704036,Sibawan,,Kidapawan,Cotabato,"Sibawan,Kidapawan,Cotabato"
110,124704037,Sikitan,,Kidapawan,Cotabato,"Sikitan,Kidapawan,Cotabato"
111,124704038,Singao,,Kidapawan,Cotabato,"Singao,Kidapawan,Cotabato"
112,124704039,Sudapin,,Kidapawan,Cotabato,"Sudapin,Kidapawan,Cotabato"
113,124704040,Sumbao,,Kidapawan,Cotabato,"Sumbao,Kidapawan,Cotabato"
114,124704041,Magsaysay,,Kidapawan,Cotabato,"Magsaysay,Kidapawan,Cotabato"
115,124705000,LIBUNGAN,,,Cotabato,"LIBUNGAN,Cotabato"
116,124705001,Abaga,,Libungan,Cotabato,"Abaga,Libungan,Cotabato"
117,124705003,Baguer,,Libungan,Cotabato,"Baguer,Libungan,Cotabato"
118,124705004,Barongis,,Libungan,Cotabato,"Barongis,Libungan,Cotabato"
119,124705005,Batiocan,,Libungan,Cotabato,"Batiocan,Libungan,Cotabato"
120,124705006,Cabaruyan,,Libungan,Cotabato,"Cabaruyan,Libungan,Cotabato"
121,124705007,Cabpangi,,Libungan,Cotabato,"Cabpangi,Libungan,Cotabato"
122,124705010,Demapaco,,Libungan,Cotabato,"Demapaco,Libungan,Cotabato"
123,124705011,Grebona,,Libungan,Cotabato,"Grebona,Libungan,Cotabato"
124,124705013,Gumaga,,Libungan,Cotabato,"Gumaga,Libungan,Cotabato"
125,124705014,Kapayawi,,Libungan,Cotabato,"Kapayawi,Libungan,Cotabato"
126,124705015,Kiloyao,,Libungan,Cotabato,"Kiloyao,Libungan,Cotabato"
127,124705017,Kitubod,,Libungan,Cotabato,"Kitubod,Libungan,Cotabato"
128,124705019,Malengen,,Libungan,Cotabato,"Malengen,Libungan,Cotabato"
129,124705023,Montay,,Libungan,Cotabato,"Montay,Libungan,Cotabato"
130,124705024,Nica-an,,Libungan,Cotabato,"Nica-an,Libungan,Cotabato"
131,124705025,Palao,,Libungan,Cotabato,"Palao,Libungan,Cotabato"
132,124705029,Poblacion,,Libungan,Cotabato,"Poblacion,Libungan,Cotabato"
133,124705032,Sinapangan,,Libungan,Cotabato,"Sinapangan,Libungan,Cotabato"
134,124705033,Sinawingan,,Libungan,Cotabato,"Sinawingan,Libungan,Cotabato"
135,124705034,Ulamian,,Libungan,Cotabato,"Ulamian,Libungan,Cotabato"
136,124706000,MAGPET,,,Cotabato,"MAGPET,Cotabato"
137,124706001,Alibayon,,Magpet,Cotabato,"Alibayon,Magpet,Cotabato"
138,124706005,Bagumbayan,,Magpet,Cotabato,"Bagumbayan,Magpet,Cotabato"
139,124706006,Bangkal,,Magpet,Cotabato,"Bangkal,Magpet,Cotabato"
140,124706007,Bantac,,Magpet,Cotabato,"Bantac,Magpet,Cotabato"
141,124706008,Basak,,Magpet,Cotabato,"Basak,Magpet,Cotabato"
142,124706009,Binay,,Magpet,Cotabato,"Binay,Magpet,Cotabato"
143,124706010,Bongolanon,,Magpet,Cotabato,"Bongolanon,Magpet,Cotabato"
144,124706014,Datu Celo,,Magpet,Cotabato,"Datu Celo,Magpet,Cotabato"
145,124706015,Del Pilar,,Magpet,Cotabato,"Del Pilar,Magpet,Cotabato"
146,124706016,Doles,,Magpet,Cotabato,"Doles,Magpet,Cotabato"
147,124706021,Gubatan,,Magpet,Cotabato,"Gubatan,Magpet,Cotabato"
148,124706022,Ilian,,Magpet,Cotabato,"Ilian,Magpet,Cotabato"
149,124706023,Inac,,Magpet,Cotabato,"Inac,Magpet,Cotabato"
150,124706024,Kamada,,Magpet,Cotabato,"Kamada,Magpet,Cotabato"
151,124706026,Kauswagan,,Magpet,Cotabato,"Kauswagan,Magpet,Cotabato"
152,124706027,Kisandal,,Magpet,Cotabato,"Kisandal,Magpet,Cotabato"
153,124706029,Magcaalam,,Magpet,Cotabato,"Magcaalam,Magpet,Cotabato"
154,124706030,Mahongcog,,Magpet,Cotabato,"Mahongcog,Magpet,Cotabato"
155,124706033,Manobo,,Magpet,Cotabato,"Manobo,Magpet,Cotabato"
156,124706037,Noa,,Magpet,Cotabato,"Noa,Magpet,Cotabato"
157,124706038,Owas,,Magpet,Cotabato,"Owas,Magpet,Cotabato"
158,124706039,Pangao-an,,Magpet,Cotabato,"Pangao-an,Magpet,Cotabato"
159,124706040,Poblacion,,Magpet,Cotabato,"Poblacion,Magpet,Cotabato"
160,124706042,Sallab,,Magpet,Cotabato,"Sallab,Magpet,Cotabato"
161,124706043,Tagbac,,Magpet,Cotabato,"Tagbac,Magpet,Cotabato"
162,124706044,Temporan,,Magpet,Cotabato,"Temporan,Magpet,Cotabato"
163,124706048,Amabel,,Magpet,Cotabato,"Amabel,Magpet,Cotabato"
164,124706049,Balete,,Magpet,Cotabato,"Balete,Magpet,Cotabato"
165,124706050,Don Panaca,,Magpet,Cotabato,"Don Panaca,Magpet,Cotabato"
166,124706051,Imamaling,,Magpet,Cotabato,"Imamaling,Magpet,Cotabato"
167,124706052,Kinarum,,Magpet,Cotabato,"Kinarum,Magpet,Cotabato"
168,124706053,Manobisa,,Magpet,Cotabato,"Manobisa,Magpet,Cotabato"
169,124707000,MAKILALA,,,Cotabato,"MAKILALA,Cotabato"
170,124707001,Batasan,,Makilala,Cotabato,"Batasan,Makilala,Cotabato"
171,124707002,Bato,,Makilala,Cotabato,"Bato,Makilala,Cotabato"
172,124707003,Biangan,,Makilala,Cotabato,"Biangan,Makilala,Cotabato"
173,124707004,Buena Vida,,Makilala,Cotabato,"Buena Vida,Makilala,Cotabato"
174,124707005,Buhay,,Makilala,Cotabato,"Buhay,Makilala,Cotabato"
175,124707006,Bulakanon,,Makilala,Cotabato,"Bulakanon,Makilala,Cotabato"
176,124707007,Cabilao,,Makilala,Cotabato,"Cabilao,Makilala,Cotabato"
177,124707008,Concepcion,,Makilala,Cotabato,"Concepcion,Makilala,Cotabato"
178,124707009,Dagupan,,Makilala,Cotabato,"Dagupan,Makilala,Cotabato"
179,124707010,Garsika,,Makilala,Cotabato,"Garsika,Makilala,Cotabato"
180,124707011,Guangan,,Makilala,Cotabato,"Guangan,Makilala,Cotabato"
181,124707012,Indangan,,Makilala,Cotabato,"Indangan,Makilala,Cotabato"
182,124707013,Jose Rizal,,Makilala,Cotabato,"Jose Rizal,Makilala,Cotabato"
183,124707014,Katipunan II,,Makilala,Cotabato,"Katipunan II,Makilala,Cotabato"
184,124707015,Kawayanon,,Makilala,Cotabato,"Kawayanon,Makilala,Cotabato"
185,124707016,Kisante,,Makilala,Cotabato,"Kisante,Makilala,Cotabato"
186,124707017,Leboce,,Makilala,Cotabato,"Leboce,Makilala,Cotabato"
187,124707018,Libertad,,Makilala,Cotabato,"Libertad,Makilala,Cotabato"
188,124707019,Luayon,,Makilala,Cotabato,"Luayon,Makilala,Cotabato"
189,124707020,Luna Norte,,Makilala,Cotabato,"Luna Norte,Makilala,Cotabato"
190,124707021,Luna Sur,,Makilala,Cotabato,"Luna Sur,Makilala,Cotabato"
191,124707022,Malabuan,,Makilala,Cotabato,"Malabuan,Makilala,Cotabato"
192,124707023,Malasila,,Makilala,Cotabato,"Malasila,Makilala,Cotabato"
193,124707024,Malungon,,Makilala,Cotabato,"Malungon,Makilala,Cotabato"
194,124707025,New Baguio,,Makilala,Cotabato,"New Baguio,Makilala,Cotabato"
195,124707026,New Bulatukan,,Makilala,Cotabato,"New Bulatukan,Makilala,Cotabato"
196,124707027,New Cebu,,Makilala,Cotabato,"New Cebu,Makilala,Cotabato"
197,124707028,Old Bulatukan,,Makilala,Cotabato,"Old Bulatukan,Makilala,Cotabato"
198,124707029,Poblacion,,Makilala,Cotabato,"Poblacion,Makilala,Cotabato"
199,124707030,Rodero,,Makilala,Cotabato,"Rodero,Makilala,Cotabato"
200,124707031,Saguing,,Makilala,Cotabato,"Saguing,Makilala,Cotabato"
201,124707032,San Vicente,,Makilala,Cotabato,"San Vicente,Makilala,Cotabato"
202,124707033,Santa Felomina,,Makilala,Cotabato,"Santa Felomina,Makilala,Cotabato"
203,124707034,Santo Niño,,Makilala,Cotabato,"Santo Niño,Makilala,Cotabato"
204,124707035,Sinkatulan,,Makilala,Cotabato,"Sinkatulan,Makilala,Cotabato"
205,124707036,Taluntalunan,,Makilala,Cotabato,"Taluntalunan,Makilala,Cotabato"
206,124707037,Villaflores,,Makilala,Cotabato,"Villaflores,Makilala,Cotabato"
207,124707038,New Israel,,Makilala,Cotabato,"New Israel,Makilala,Cotabato"
208,124708000,MATALAM,,,Cotabato,"MATALAM,Cotabato"
209,124708001,New Alimodian,,Matalam,Cotabato,"New Alimodian,Matalam,Cotabato"
210,124708003,Arakan,,Matalam,Cotabato,"Arakan,Matalam,Cotabato"
